Date,HSCEI,XIN9I
2005-09-29,5218.21,
2005-09-30,5227.28,
2005-10-04,5240.83,
2005-10-05,5158.0,
2005-10-06,5047.28,
2005-10-07,5055.08,
2005-10-10,5104.89,
2005-10-12,5029.51,
2005-10-13,5044.68,
2005-10-14,4941.78,
2005-10-17,4963.45,
2005-10-18,5021.25,
2005-10-19,4901.21,
2005-10-20,4910.94,
2005-10-21,4877.51,
2005-10-24,4832.59,
2005-10-25,4835.61,
2005-10-26,4800.84,
2005-10-27,4776.21,
2005-10-28,4712.5,
2005-10-31,4770.37,
2005-11-01,4878.43,
2005-11-02,4888.33,
2005-11-03,4920.5,
2005-11-04,4947.75,
2005-11-07,4901.69,
2005-11-08,4876.87,
2005-11-09,4920.8,
2005-11-10,4949.79,
2005-11-11,4935.34,
2005-11-14,4935.04,
2005-11-15,4979.88,
2005-11-16,4975.53,
2005-11-17,5024.43,
2005-11-18,5046.52,
2005-11-21,5051.3,
2005-11-22,5039.79,
2005-11-23,5104.32,
2005-11-24,5112.25,
2005-11-25,5072.3,
2005-11-28,5110.03,
2005-11-29,5035.38,
2005-11-30,5032.21,
2005-12-01,5080.37,
2005-12-02,5105.6,
2005-12-05,5110.64,
2005-12-06,5064.93,
2005-12-07,5163.11,
2005-12-08,5175.09,
2005-12-09,5174.81,
2005-12-12,5203.13,
2005-12-13,5203.7,
2005-12-14,5204.52,
2005-12-15,5233.72,
2005-12-16,5219.35,
2005-12-19,5276.99,
2005-12-20,5279.09,
2005-12-21,5286.09,
2005-12-23,5308.42,
2005-12-28,5302.67,
2005-12-29,5338.34,
2005-12-30,5330.34,
2006-01-03,5412.99,
2006-01-04,5569.99,
2006-01-05,5603.94,
2006-01-06,5677.93,
2006-01-09,5804.81,
2006-01-10,5761.62,
2006-01-11,5735.73,
2006-01-12,5781.74,
2006-01-13,5884.21,
2006-01-16,5961.48,
2006-01-17,5872.06,
2006-01-18,5942.21,
2006-01-19,6103.43,
2006-01-20,6097.34,
2006-01-23,6071.21,
2006-01-24,6131.54,
2006-01-25,6128.15,
2006-01-26,6110.82,
2006-01-27,6277.05,
2006-02-01,6431.9,
2006-02-02,6363.86,
2006-02-03,6202.28,
2006-02-06,6403.51,
2006-02-07,6471.47,
2006-02-08,6285.01,
2006-02-09,6271.42,
2006-02-10,6318.52,
2006-02-13,6314.68,
2006-02-14,6451.85,
2006-02-15,6454.59,
2006-02-16,6347.43,
2006-02-17,6379.95,
2006-02-20,6526.34,
2006-02-21,6568.46,
2006-02-22,6717.19,
2006-02-23,6691.28,
2006-02-24,6599.4,
2006-02-27,6580.42,
2006-02-28,6506.18,
2006-03-01,6486.2,
2006-03-02,6505.38,
2006-03-03,6545.59,
2006-03-06,6568.87,
2006-03-07,6400.05,
2006-03-08,6230.5,
2006-03-09,6206.9,
2006-03-10,6174.4,
2006-03-13,6274.83,
2006-03-14,6309.43,
2006-03-15,6405.59,
2006-03-16,6395.45,
2006-03-17,6409.29,
2006-03-20,6460.97,
2006-03-21,6562.39,
2006-03-22,6479.15,
2006-03-23,6562.57,
2006-03-24,6600.25,
2006-03-27,6701.64,
2006-03-28,6659.46,
2006-03-29,6621.12,
2006-03-30,6703.48,
2006-03-31,6703.78,
2006-04-03,6826.85,
2006-04-04,6854.8,
2006-04-06,6964.44,
2006-04-07,6898.94,
2006-04-10,6846.46,
2006-04-11,6852.71,
2006-04-12,6743.82,
2006-04-13,6776.86,
2006-04-18,7023.78,
2006-04-19,7123.03,
2006-04-20,7245.52,
2006-04-21,7194.76,
2006-04-24,7051.94,
2006-04-25,6856.09,
2006-04-26,6900.88,
2006-04-27,6847.97,
2006-04-28,6835.15,
2006-05-02,7008.16,
2006-05-03,7100.88,
2006-05-04,7153.17,
2006-05-08,7371.62,
2006-05-10,7361.68,
2006-05-11,7368.71,
2006-05-12,7377.94,
2006-05-15,7133.28,
2006-05-16,7028.42,
2006-05-17,7222.89,
2006-05-22,6644.02,
2006-05-23,6691.35,
2006-05-24,6748.05,
2006-05-25,6580.99,
2006-05-26,6628.45,
2006-05-30,6665.9,
2006-05-31,6715.52,
2006-06-01,6486.47,
2006-06-02,6603.51,
2006-06-05,6702.5,
2006-06-06,6737.12,
2006-06-07,6641.41,
2006-06-08,6340.6,
2006-06-09,6255.81,
2006-06-12,6218.34,
2006-06-13,5953.94,
2006-06-14,5901.33,
2006-06-15,6036.49,
2006-06-16,6340.96,
2006-06-19,6231.88,
2006-06-20,6080.84,
2006-06-21,6156.89,
2006-06-22,6247.01,
2006-06-26,6351.04,
2006-06-27,6429.26,
2006-06-28,6485.54,
2006-06-29,6574.89,
2006-06-30,6784.6,
2006-07-03,6792.08,
2006-07-04,6814.56,
2006-07-06,6797.07,
2006-07-07,6837.77,
2006-07-10,6828.04,
2006-07-11,6800.72,
2006-07-12,6826.65,
2006-07-13,6728.23,
2006-07-14,6647.53,
2006-07-17,6571.2,
2006-07-18,6557.1,
2006-07-19,6609.17,
2006-07-20,6778.12,
2006-07-21,6736.12,
2006-07-24,6718.55,
2006-07-25,6745.91,
2006-07-28,6859.24,
2006-07-31,6829.49,
2006-08-01,6755.38,
2006-08-02,6767.77,
2006-08-03,6857.92,
2006-08-04,6820.65,
2006-08-07,6860.79,
2006-08-08,6882.36,
2006-08-09,6991.09,
2006-08-10,6980.91,
2006-08-11,7002.45,
2006-08-14,7029.54,
2006-08-15,7014.6,
2006-08-16,7065.23,
2006-08-17,7015.93,
2006-08-18,6989.99,
2006-08-24,6897.86,
2006-08-25,6868.53,
2006-08-28,6847.35,
2006-08-29,6936.37,
2006-08-30,6922.7,
2006-08-31,6882.16,
2006-09-01,6892.97,
2006-09-04,7040.39,
2006-09-05,7029.92,
2006-09-06,6999.52,
2006-09-07,6967.23,
2006-09-08,6953.0,
2006-09-11,6871.62,
2006-09-12,6865.07,
2006-09-13,6908.95,
2006-09-14,6917.57,
2006-09-15,6904.75,
2006-09-18,6965.55,
2006-09-19,7006.43,
2006-09-20,7044.52,
2006-09-21,7107.91,
2006-09-22,7106.13,
2006-09-25,7099.86,
2006-09-26,6966.74,
2006-09-27,7070.4,
2006-09-28,7099.15,
2006-09-29,7097.25,
2006-10-03,7134.79,
2006-10-04,7094.07,
2006-10-05,7142.19,
2006-10-06,7129.15,
2006-10-09,7072.44,
2006-10-10,7167.33,
2006-10-11,7219.42,
2006-10-12,7290.71,
2006-10-13,7330.06,
2006-10-16,7366.67,
2006-10-17,7402.15,
2006-10-18,7441.04,
2006-10-19,7440.32,
2006-10-20,7512.31,
2006-10-24,7496.38,
2006-10-25,7518.77,
2006-10-26,7556.22,
2006-10-31,7484.35,
2006-11-01,7568.19,
2006-11-02,7621.93,
2006-11-03,7620.47,
2006-11-06,7715.73,
2006-11-07,7753.67,
2006-11-08,7747.26,
2006-11-09,7911.28,
2006-11-10,7914.5,
2006-11-13,8064.12,
2006-11-14,8093.9,
2006-11-15,8240.23,
2006-11-16,8312.41,
2006-11-17,8321.33,
2006-11-20,8286.51,
2006-11-21,8325.33,
2006-11-22,8610.04,
2006-11-23,8622.88,
2006-11-24,8591.09,
2006-11-27,8514.0,
2006-11-28,8133.78,
2006-11-29,8402.26,
2006-11-30,8546.6,
2006-12-01,8566.85,
2006-12-04,8576.04,
2006-12-05,8758.17,
2006-12-06,8799.49,
2006-12-07,8709.86,
2006-12-08,8630.4,
2006-12-11,8737.97,
2006-12-12,8745.56,
2006-12-13,8665.72,
2006-12-14,8847.75,
2006-12-15,8988.91,
2006-12-18,9238.12,
2006-12-19,9139.51,
2006-12-20,9430.28,
2006-12-21,9500.23,
2006-12-22,9593.07,
2006-12-27,10258.31,
2006-12-28,10363.28,
2006-12-29,10340.36,
2007-01-02,10633.42,
2007-01-03,10766.08,
2007-01-05,10235.46,
2007-01-08,10103.0,
